sampling_percentage,nominal_sampling_ratio,actual_sampling_ratio,retained_measurements_M,method,route_id,case_file,completion_status,rmse_normalized,rmse_gray_levels,tutorial_nrmse_relative_l2,psnr_section8_db,ssim_section8,psnr_plot_included,ssim_dynamic_range,metric_input_scale_divisor,clipping_applied,per_method_normalization_applied,benchmark_psnr_actual_reference_range_db,benchmark_ssim_actual_reference_range,source_reconstruction_hash_or_case_hash,omission_reason
5,0.050000000000000003,0.04998779296875,819,Direct,direct_separable_cpu,c001.mat,completed,0.092132276151115411,23.49373041853443,0.17618317718080168,20.711763987000779,0.57727889431372637,True,1,255,False,False,20.764106389089498,0.57865256333487802,06fdb5e6f18674fd744dce639776527f47e35d6be951dd317ec17963313f764b,
10,0.10000000000000001,0.0999755859375,1638,Direct,direct_separable_cpu,c009.mat,completed,0.076587668166483644,19.529855382453331,0.1464574552386837,22.316823061237475,0.66646383532000431,True,1,255,False,False,22.369165463326201,0.667689097438389,686a86cab761be12b5d0febb867dbc4a275fa852aa2ae0f0a5dc9060528075e6,
15,0.14999999999999999,0.1500244140625,2458,Direct,direct_separable_cpu,c017.mat,completed,0.066626585093482765,16.989779198838104,0.12740902468558757,23.527048913404514,0.74393260777066827,True,1,255,False,False,23.579391315493201,0.74495887993611598,76b1097158d1ff27393446182343371ac2d59ad8938e342844bcdf7a29d5525f,
20,0.20000000000000001,0.20001220703125,3277,Direct,direct_separable_cpu,c025.mat,completed,0.060603369574577216,15.45385924151719,0.11589091950793053,24.350064563881539,0.79026765949286948,True,1,255,False,False,24.402406965970201,0.791172165553647,eb33d3474a25e2c6fa1ec50e465a1115b3b1a4b2de008b6c4e710c33180ce4f8,
25,0.25,0.25,4096,Direct,direct_separable_cpu,c033.mat,completed,0.055174818364740821,14.06957868300891,0.10550998201682869,25.165181757189536,0.8202384065092666,True,1,255,False,False,25.217524159278199,0.82097796419333402,28fb6fec208543fb134b3d31eb116304775fcbe2b0e875fe7272ac7cc9a3e6a9,
30,0.29999999999999999,0.29998779296875,4915,Direct,direct_separable_cpu,c041.mat,completed,0.05014662059772871,12.78738825242082,0.09589463444164692,25.995166578977109,0.84920588940483321,True,1,255,False,False,26.0475089810658,0.84986560571908099,15dac44fea99a472f1a9a7f639aeb861410ed4aad4f53ad10af0ac1eba4f6993,
35,0.34999999999999998,0.3499755859375,5734,Direct,direct_separable_cpu,c049.mat,completed,0.045013328920236122,11.478398874660211,0.086078317349328304,26.933177360324386,0.86073987792283846,True,1,255,False,False,26.985519762413102,0.86144180659255198,9f9e8b487d90f9a26ee08021024cfbc0732e630d2b45e8bd3e6a51491f156743,
40,0.40000000000000002,0.4000244140625,6554,Direct,direct_separable_cpu,c057.mat,completed,0.040162556123964938,10.241451811611059,0.076802256898726801,27.923573090962886,0.87759936132662753,True,1,255,False,False,27.975915493051598,0.87832802517726205,cac40b7d6be243393ade54cd684c3898774fd9e4a469fdfa36778c18964c33da,
45,0.45000000000000001,0.45001220703125,7373,Direct,direct_separable_cpu,c065.mat,completed,0.03547016542083193,9.0448921823121413,0.067829068161962686,29.002735722420759,0.89256357246664519,True,1,255,False,False,29.0550781245094,0.89318086625346904,a2e3d1ad7b48f2b915020ea3fb18b32f3d4c4539fb6270c68a7d03ce4bb3c6e1,
50,0.5,0.5,8192,Direct,direct_separable_cpu,c073.mat,completed,0.0312142297883099,7.9596285960190247,0.05969050594534217,30.112947536495103,0.91488881527816712,True,1,255,False,False,30.1652899385838,0.91536726888574105,ea9ad08eb2790a4c4924639cc7ed3c03372a73154e6684458ef5e199fb2cdef2,
55,0.55000000000000004,0.54998779296875,9011,Direct,direct_separable_cpu,c081.mat,completed,0.027478799666974744,7.0070939150785598,0.052547298652446825,31.220044842289671,0.93265146311107838,True,1,255,False,False,31.2723872443784,0.93300766879624397,39dc9760cfc3b03b722bf48fbd06feea487139fd5570add9504a52b6e813496d,
60,0.59999999999999998,0.5999755859375,9830,Direct,direct_separable_cpu,c089.mat,completed,0.02459249517331194,6.2710862691945444,0.047027861629414136,32.183948103529488,0.94572780709471538,True,1,255,False,False,32.2362905056182,0.94600028873248898,4769fb3e96bbb11ecd4fd18f51d42a1ce1b3b093d696166e5beee5ced2dbcdcb,
65,0.65000000000000002,0.6500244140625,10650,Direct,direct_separable_cpu,c097.mat,completed,0.021273066658737766,5.4246319979781301,0.040680168002883162,33.443397981008289,0.95905971520107158,True,1,255,False,False,33.495740383097001,0.95924980104489199,a4078a163f861ef03123670ca5b5805dc234fa4260e1a6945388bc2eb9835b96,
70,0.69999999999999996,0.70001220703125,11469,Direct,direct_separable_cpu,c105.mat,completed,0.018679529884821008,4.7632801206293571,0.035720586322577866,34.572681160616654,0.96856068267444784,True,1,255,False,False,34.625023562705302,0.96871067377576903,c326c1cfa107f8336c3b73a149eeaacc4214a7907c9ac6e59203edb2e06eee58,
75,0.75,0.75,12288,Direct,direct_separable_cpu,c113.mat,completed,0.016022124932473084,4.0856418577806366,0.030638870477495205,35.905597723526796,0.97524461743585311,True,1,255,False,False,35.957940125615501,0.97538221509745604,6151e8e883f62be63b248dc70cb71a6a1afec62b945af6a3f52103698ec934c2,
80,0.80000000000000004,0.79998779296875,13107,Direct,direct_separable_cpu,c121.mat,completed,0.013412319699560768,3.4201415233879957,0.025648178865758577,37.449922063259315,0.98261780047029834,True,1,255,False,False,37.502264465347999,0.98272076186431601,006190fde99e504da85d2578e64489cdfff4fba495af2be741ec8f58df3fad9b,
85,0.84999999999999998,0.8499755859375,13926,Direct,direct_separable_cpu,c129.mat,completed,0.010987978954490191,2.8019346333949988,0.021012148227214165,39.18164362128276,0.98819693571565348,True,1,255,False,False,39.233986023371401,0.98826591426324195,edeac65164d2cf2812df791ccd73982a70aaec968091961416a3a5fdf33d07d0,
90,0.90000000000000002,0.9000244140625,14746,Direct,direct_separable_cpu,c137.mat,completed,0.0078714359341832251,2.0072161632167225,0.015052429504562313,42.078920698670288,0.99275073489548316,True,1,255,False,False,42.131263100759,0.992796525598034,d062e4f12e5425e49dccaa688dd622e7a93b35b5462dec73baa1f96a8895bd30,
95,0.94999999999999996,0.95001220703125,15565,Direct,direct_separable_cpu,c145.mat,completed,0.0048319689701577144,1.2321520873902172,0.0092401021744552437,46.317517266432816,0.99661126577280434,True,1,255,False,False,46.369859668521499,0.99663336635532496,ff8a69ca9e0549c53a43486a14a37c21b1a69007a28d167d0eaeca716c2e708b,
100,1,1,16384,Direct,direct_separable_cpu,c153.mat,completed,0,0,0,inf,1,False,1,255,False,False,inf,1,1ddc4ee030483e1efea9fce2e7546f8b3ddf3eb696cb5c3811f81502fa78327c,
5,0.050000000000000003,0.04998779296875,819,FDRI,fdri_cpu,c005.mat,completed,0.080595427046516205,20.551833896861631,0.15412143275401791,21.873791983949214,0.62379593442190373,True,1,255,False,False,21.926134386037901,0.62498497293291699,98f84d72b9c51f9bb595dc70448fdf9d91fa02488e9cc144f0567a7f0d81c816,
10,0.10000000000000001,0.0999755859375,1638,FDRI,fdri_cpu,c013.mat,completed,0.066459256953458654,16.947110523131958,0.12708904557975451,23.548890373038024,0.72571873516446905,True,1,255,False,False,23.6012327751267,0.72676162166649705,c2fb0aa444d6761549b4cc64685f7231ef5b1ebe6fbdaef4e453cd089d2055ac,
15,0.14999999999999999,0.1500244140625,2458,FDRI,fdri_cpu,c021.mat,completed,0.059091404830957581,15.068308231894184,0.1129996118854059,24.569513700802514,0.78123283020983969,True,1,255,False,False,24.621856102891201,0.782311476129667,2097e6152bae2882f3d9c19cbd3ff2c08ed9fa5cc5effeccd6c295c74f17b2f6,
20,0.20000000000000001,0.20001220703125,3277,FDRI,fdri_cpu,c029.mat,completed,0.053790094233705538,13.716474029594911,0.1028619947194719,25.385953897727109,0.81115693922895338,True,1,255,False,False,25.4382962998158,0.81218527803437202,6654de826f650013610f65779c2f85198632ae4dae148ef3789eab8e4139e50d,
